ticker,window_start,window_end,strategy,dip_threshold,exit_threshold,source,total_return,sharpe,max_drawdown,trades
CAT,2019-12-16,2021-08-11,rule_based,-0.03,0.01,yahoo,0.253,0.65,-0.296,19
CAT,2021-08-11,2023-04-06,rule_based,-0.03,0.01,yahoo,0.042,0.23,-0.198,20
CAT,2023-04-06,2024-11-30,rule_based,-0.03,0.01,yahoo,0.364,1.25,-0.177,16
CAT,2024-11-30,2026-07-27,rule_based,-0.03,0.01,yahoo,0.05,0.25,-0.25,15
DIS,2015-01-01,2016-08-26,rule_based,-0.03,0.01,yahoo,-0.079,-0.25,-0.219,11
DIS,2016-08-26,2018-04-22,rule_based,-0.03,0.01,yahoo,-0.008,-0.01,-0.093,8
DIS,2018-04-22,2019-12-16,rule_based,-0.03,0.01,yahoo,0.065,0.39,-0.133,10
DIS,2019-12-16,2021-08-11,rule_based,-0.03,0.01,yahoo,-0.063,0.0,-0.358,16
DIS,2021-08-11,2023-04-06,rule_based,-0.03,0.01,yahoo,-0.284,-0.68,-0.379,20
DIS,2023-04-06,2024-11-30,rule_based,-0.03,0.01,yahoo,0.013,0.13,-0.187,14
DIS,2024-11-30,2026-07-27,rule_based,-0.03,0.01,yahoo,-0.054,-0.07,-0.233,17
SPY,2015-01-01,2016-08-26,rule_based,-0.06,0.01,yahoo,0.089,0.75,-0.056,4
SPY,2016-08-26,2018-04-22,rule_based,-0.06,0.01,yahoo,0.074,1.64,-0.011,2
SPY,2018-04-22,2019-12-16,rule_based,-0.06,0.01,yahoo,0.041,0.44,-0.048,2
SPY,2019-12-16,2021-08-11,rule_based,-0.06,0.01,yahoo,-0.108,-0.22,-0.283,2
SPY,2021-08-11,2023-04-06,rule_based,-0.06,0.01,yahoo,0.078,0.45,-0.092,8
SPY,2023-04-06,2024-11-30,rule_based,-0.06,0.01,yahoo,0.0,,0.0,0
SPY,2024-11-30,2026-07-27,rule_based,-0.06,0.01,yahoo,-0.018,-0.03,-0.137,2
AAPL,2015-01-01,2016-08-26,rule_based,-0.06,0.01,yahoo,-0.125,-0.42,-0.216,6
AAPL,2016-08-26,2018-04-22,rule_based,-0.06,0.01,yahoo,0.235,1.4,-0.048,8
AAPL,2018-04-22,2019-12-16,rule_based,-0.06,0.01,yahoo,-0.212,-0.78,-0.32,4
AAPL,2019-12-16,2021-08-11,rule_based,-0.06,0.01,yahoo,-0.001,0.14,-0.259,10
AAPL,2021-08-11,2023-04-06,rule_based,-0.06,0.01,yahoo,0.178,0.58,-0.171,14
AAPL,2023-04-06,2024-11-30,rule_based,-0.06,0.01,yahoo,0.132,1.44,-0.031,6
AAPL,2024-11-30,2026-07-27,rule_based,-0.06,0.01,yahoo,0.312,0.99,-0.155,10
QQQ,2015-01-01,2016-08-26,rule_based,-0.06,0.01,yahoo,0.017,0.15,-0.087,4
QQQ,2016-08-26,2018-04-22,rule_based,-0.06,0.01,yahoo,0.137,1.72,-0.025,4
QQQ,2018-04-22,2019-12-16,rule_based,-0.06,0.01,yahoo,0.056,0.37,-0.079,4
QQQ,2019-12-16,2021-08-11,rule_based,-0.06,0.01,yahoo,-0.017,0.05,-0.224,4
QQQ,2021-08-11,2023-04-06,rule_based,-0.06,0.01,yahoo,0.02,0.16,-0.159,12
QQQ,2023-04-06,2024-11-30,rule_based,-0.06,0.01,yahoo,0.053,0.71,-0.033,2
QQQ,2024-11-30,2026-07-27,rule_based,-0.06,0.01,yahoo,0.11,0.59,-0.071,4
JPM,2015-01-01,2016-08-26,rule_based,-0.06,0.01,yahoo,0.11,0.55,-0.092,8
JPM,2016-08-26,2018-04-22,rule_based,-0.06,0.01,yahoo,0.053,0.68,-0.025,2
JPM,2018-04-22,2019-12-16,rule_based,-0.06,0.01,yahoo,0.052,0.42,-0.101,6
JPM,2019-12-16,2021-08-11,rule_based,-0.06,0.01,yahoo,-0.06,0.05,-0.376,10
JPM,2021-08-11,2023-04-06,rule_based,-0.06,0.01,yahoo,0.023,0.17,-0.114,11
JPM,2023-04-06,2024-11-30,rule_based,-0.06,0.01,yahoo,0.133,1.89,-0.017,4
JPM,2024-11-30,2026-07-27,rule_based,-0.06,0.01,yahoo,0.187,1.07,-0.105,6
XOM,2015-01-01,2016-08-26,rule_based,-0.06,0.01,yahoo,0.126,0.79,-0.049,5
XOM,2016-08-26,2018-04-22,rule_based,-0.06,0.01,yahoo,-0.053,-0.47,-0.079,2
XOM,2018-04-22,2019-12-16,rule_based,-0.06,0.01,yahoo,0.099,0.63,-0.094,8
XOM,2019-12-16,2021-08-11,rule_based,-0.06,0.01,yahoo,-0.341,-0.64,-0.508,9
XOM,2021-08-11,2023-04-06,rule_based,-0.06,0.01,yahoo,0.257,1.12,-0.091,8
XOM,2023-04-06,2024-11-30,rule_based,-0.06,0.01,yahoo,-0.023,-0.1,-0.125,4
XOM,2024-11-30,2026-07-27,rule_based,-0.06,0.01,yahoo,0.093,0.58,-0.055,6
JNJ,2015-01-01,2016-08-26,rule_based,-0.06,0.01,yahoo,0.041,0.48,-0.051,2
JNJ,2016-08-26,2018-04-22,rule_based,-0.06,0.01,yahoo,0.015,0.2,-0.041,2
JNJ,2018-04-22,2019-12-16,rule_based,-0.06,0.01,yahoo,-0.012,-0.08,-0.078,4
JNJ,2019-12-16,2021-08-11,rule_based,-0.06,0.01,yahoo,-0.048,-0.06,-0.225,2
JNJ,2021-08-11,2023-04-06,rule_based,-0.06,0.01,yahoo,-0.04,-0.52,-0.081,2
JNJ,2023-04-06,2024-11-30,rule_based,-0.06,0.01,yahoo,0.0,,0.0,0
JNJ,2024-11-30,2026-07-27,rule_based,-0.06,0.01,yahoo,0.025,0.32,-0.07,2
KO,2015-01-01,2016-08-26,rule_based,-0.06,0.01,yahoo,0.025,0.44,-0.029,2
KO,2016-08-26,2018-04-22,rule_based,-0.06,0.01,yahoo,0.027,0.48,-0.039,2
KO,2018-04-22,2019-12-16,rule_based,-0.06,0.01,yahoo,0.018,0.33,-0.026,2
KO,2019-12-16,2021-08-11,rule_based,-0.06,0.01,yahoo,-0.091,-0.18,-0.357,6
KO,2021-08-11,2023-04-06,rule_based,-0.06,0.01,yahoo,0.092,1.01,-0.045,4
KO,2023-04-06,2024-11-30,rule_based,-0.06,0.01,yahoo,0.058,0.96,-0.023,2
KO,2024-11-30,2026-07-27,rule_based,-0.06,0.01,yahoo,0.0,,0.0,0
CAT,2015-01-01,2016-08-26,rule_based,-0.06,0.01,yahoo,0.296,1.27,-0.058,12
CAT,2016-08-26,2018-04-22,rule_based,-0.06,0.01,yahoo,0.071,0.64,-0.067,2
CAT,2018-04-22,2019-12-16,rule_based,-0.06,0.01,yahoo,0.031,0.2,-0.217,12
CAT,2019-12-16,2021-08-11,rule_based,-0.06,0.01,yahoo,-0.04,0.01,-0.28,8
CAT,2021-08-11,2023-04-06,rule_based,-0.06,0.01,yahoo,0.098,0.42,-0.135,12
CAT,2023-04-06,2024-11-30,rule_based,-0.06,0.01,yahoo,0.129,0.8,-0.103,8
CAT,2024-11-30,2026-07-27,rule_based,-0.06,0.01,yahoo,-0.108,-0.36,-0.226,5
DIS,2015-01-01,2016-08-26,rule_based,-0.06,0.01,yahoo,-0.116,-0.57,-0.178,4
DIS,2016-08-26,2018-04-22,rule_based,-0.06,0.01,yahoo,0.079,1.53,-0.014,2
DIS,2018-04-22,2019-12-16,rule_based,-0.06,0.01,yahoo,0.057,0.55,-0.039,2
DIS,2019-12-16,2021-08-11,rule_based,-0.06,0.01,yahoo,0.02,0.18,-0.332,10
DIS,2021-08-11,2023-04-06,rule_based,-0.06,0.01,yahoo,0.021,0.16,-0.226,18
DIS,2023-04-06,2024-11-30,rule_based,-0.06,0.01,yahoo,-0.139,-0.85,-0.198,4
DIS,2024-11-30,2026-07-27,rule_based,-0.06,0.01,yahoo,-0.096,-0.26,-0.196,6
SPY,2015-01-01,2016-08-26,rule_based,-0.08,0.01,yahoo,0.052,0.59,-0.038,2
