dip_threshold,exit_threshold,avg_total_return,avg_sharpe,avg_trades,worst_ticker_return
-0.01,0.02,0.042,1.93,6.1,-0.086
-0.02,0.015,0.019,2.33,5.2,-0.065
-0.01,0.008,0.019,1.23,21.1,-0.053
-0.02,0.008,0.019,2.47,6.4,-0.036
-0.01,0.015,0.013,0.84,10.6,-0.145
-0.015,0.015,0.008,1.19,7.1,-0.081
-0.015,0.008,0.006,0.99,9.9,-0.052
