timestamp_utc,mode,asset_class,ticker,strategy,action,price_usd,notional_usd,position_qty_before,avg_entry_price_usd,unrealized_gain_pct,order_placed,notes
2026-08-20T18:35:51+00:00,PAPER,crypto,XRP,day_trading,BUY,1.252749,16006.08,0.0,,,True,
2026-08-20T21:50:51+00:00,PAPER,crypto,XRP,day_trading,SELL,1.264491,,12516.156975594,1.252749,1.26,True,
2026-08-22T05:15:50+00:00,PAPER,crypto,SOL,day_trading,BUY,94.576091,16645.26,0.0,,,True,
2026-08-22T05:15:52+00:00,PAPER,crypto,DOGE,day_trading,BUY,0.092657,16645.26,0.0,,,True,
2026-08-22T05:15:54+00:00,PAPER,crypto,LTC,day_trading,BUY,52.728651,16645.26,0.0,,,True,
2026-08-22T05:15:56+00:00,PAPER,crypto,AVAX,day_trading,BUY,7.821929,16645.26,0.0,,,True,
2026-08-22T05:15:58+00:00,PAPER,crypto,LINK,day_trading,BUY,11.854257,16645.26,0.0,,,True,
2026-08-22T05:15:58+00:00,PAPER,crypto,XRP,day_trading,BUY,1.545000,1265.99,0.0,,,True,
2026-08-22T05:16:00+00:00,PAPER,crypto,DOT,day_trading,BUY,0.957540,25.63,0.0,,,True,
2026-08-22T05:35:49+00:00,PAPER,crypto,DOT,day_trading,SELL,0.968549,,26.19244777,0.957540,1.04,True,
2026-08-22T06:30:50+00:00,PAPER,crypto,XRP,day_trading,SELL,1.549400,,801.05827943,1.545000,1.00,True,
2026-08-22T07:35:39+00:00,PAPER,crypto,DOGE,day_trading,SELL,0.093315,,175709.299792431,0.092657,1.29,True,
2026-08-22T08:35:44+00:00,PAPER,crypto,XRP,day_trading,BUY,1.505000,3524.80,0.0,,,True,
2026-08-22T08:50:45+00:00,PAPER,crypto,XRP,day_trading,SELL,1.527566,,2289.564252791,1.505000,1.20,True,
2026-08-22T10:15:47+00:00,PAPER,crypto,AVAX,day_trading,SELL,7.298879,,2107.463572128,7.821942,-5.32,True,
2026-08-22T10:25:52+00:00,PAPER,crypto,XRP,day_trading,BUY,1.440210,6603.54,0.0,,,True,
2026-08-22T10:30:49+00:00,PAPER,crypto,XRP,day_trading,SELL,1.470548,,4481.719401761,1.440210,2.35,True,
2026-08-22T19:55:51+00:00,PAPER,crypto,LTC,day_trading,SELL,53.060969,,310.074053984,52.728651,1.44,True,
2026-08-23T00:40:49+00:00,PAPER,crypto,SOL,day_trading,SELL,95.895782,,172.313968968,94.576091,1.86,True,
