timestamp,tickers,lookback_days,train_rows,threshold
2026-07-25T11:43:37+00:00,SPY;AAPL;QQQ,730,1503,0.5723
2026-07-25T12:04:37+00:00,SPY;AAPL;QQQ,730,1503,0.5725
2026-07-27T00:00:59+00:00,SPY;AAPL;QQQ,730,1494,0.5775
2026-07-27T17:12:34+00:00,SPY;AAPL;QQQ;JPM;XOM;JNJ;KO;CAT;DIS,730,4482,0.5857
